Date,Boeing,McDonalds,Nike,Walmart
43272,335.999756,159.534073,73.758331,83.723724
43273,337.243622,163.529144,73.24958,84.3302
43276,329.571533,158.818542,72.172234,85.970673
43277,329.671021,159.911728,72.381714,85.483505
43278,328.198303,156.443375,71.17469,86.388245
43279,333.004547,155.350204,71.523827,85.364197
43280,333.860352,155.717911,79.484222,85.155411
43283,334.427521,155.896774,78.157494,83.514938
43284,331.292999,155.509201,76.092575,83.9524
43286,331.541779,156.344009,76.361916,84.081642
43287,332.994629,158.430969,76.292091,84.021996
43290,340.238831,158.947739,77.090118,85.433792
43291,345.453064,159.62352,77.37941,86.706398
43292,338.925293,157.635925,77.169922,86.030327
43293,344.328613,158.132828,77.179901,86.020386
43294,349.065216,157.526611,77.189873,87.193565
43297,354.349091,157.794937,77.558968,87.133919
43298,355.125244,158.758926,77.279655,87.680748
43299,358.458801,156.950211,76.40181,87.561432
43300,353.582855,156.433441,76.760925,87.213455
43301,353.154999,156.98996,76.770905,87.551491
43304,351.53299,157.765121,76.40181,87.12397
43305,356.508423,156.960144,75.344421,87.452072
43306,354.169983,157.904251,76.970421,87.392418
43307,357.553253,155.17131,77.957985,87.720512
43308,358.876709,156.502991,76.70108,87.621086
43311,349.333862,157.655807,75.773361,88.366753
43312,354.548096,156.562622,76.721031,88.714737
43313,351.025513,155.946472,77.34948,87.730453
43314,348.010406,154.445847,78.456757,88.247452
43315,346.726746,155.240891,78.546532,89.082596
43318,344.865967,155.747711,79.314644,89.152191
43319,349.03537,155.07193,80.332138,89.251617
43320,346.070007,157.934067,80.302208,89.530006
43321,343.720001,158.311707,81.060341,89.010002
43322,339.410004,157.695557,80.531647,90.18
43325,338.359985,157.158905,79.953072,89.639999
43326,339.140015,159.603653,79.943092,90.849998
43327,331.76001,158.888123,79.374496,90.220001
43328,345.980011,160.726624,79.853317,98.639999
43329,346.399994,160.150223,79.554054,97.849998
43332,350.73999,160.676941,81.978081,96
43333,353.769989,160.040909,82.746185,96.080002
43334,350.029999,159.553955,82.436951,95.669998
43335,347.480011,158.063263,82.706291,95.18
43336,349.380005,158.39122,82.247414,94.949997
43339,353.73999,159.48439,82.44693,94.540001
43340,351.209991,160.637192,82.377098,96.07
43341,350.190002,162.098068,82.586586,95.639999
43342,346.899994,161.789993,81.199997,96.099998
43343,342.790009,162.229996,82.199997,95.860001
